"Property: Property Name","# of Dock Doors","# of Grade Level Doors","# of Parking Spaces","Available SF","Ceiling Height (ft)","City","Land Size (Acres)","Lease Price (PSF)","Net Operating Income","Lead Broker","Year Built","Warehouse Space (SF)","Price (PSF)","Price (per Unit)","Price (total)","Sprinkler Type","Unit Amenities","# of Bathrooms","# of Bedrooms","# of Buildings","# of Elevators","# Of Units","# of Floors","Access Frontage","Building Status","Sales (per SF)","Building Type","Lease Structure","Truck Court Depth (ft)","Traffic (per Day)","In-Place Rent (psf)","Building Size (SF)","Dock Height (ft)","Listing Status"
"2707 SE Moberly Ln","","","","","","Bentonville","0.00","","","Cameron","","","","","","","","","","","","","","","","","","","","","","7013","","For Sale"
"2922 S 26th St","","","","","","Rogers","0.00","","","Cameron","","","","","","","","","","","","","","","","","","","","","","7138","","For Sale"
"115 S Main St","","","","","","Cave Springs","0.00","","","Cameron","","","","","","","","","","","","","","","","","","","","","","6999","","For Sale"
"604 Jean Mary Ave","","","","","","Tontitown","0.00","","","Palmer","","","","","","","","","","","","","","","","","","","","","","6800","","For Sale"
"218 N 1st St","","","","","","Rogers","0.00","","","Cameron","","","","","","","","","","","","","","","","","","","","","","6741","","For Sale"
"230 W Main St","","","","","","Farmington","0.00","","","Cameron","","","","","","","","","","","","","","","","","","","","","","6580","","For Sale"
"3467 N Shiloh Dr","","","","","","Fayetteville","0.00","","","Cameron","","","","","","","","","","","","","","","","","","","","","","6500","","For Sale"
"6938 W Sunset Ave","","","","","","Springdale","0.00","","","Cameron","","","","","","","","","","","","","","","","","","","","","","5546","","For Sale"
"103 W Chestnut St","","","","","","Rogers","0.00","","","Cameron","","","","","","","","","","","","","","","","","","","","","","6040","","For Sale"
"428 Holcomb St","","","","","","Springdale","0.00","","","Cameron","","","","","","","","","","","","","","","","","","","","","","6354","","For Sale"
"717 S Hwy 62","","","","","","Avoca","0.00","","","Cameron","","","","","","","","","","","","","","","","","","","","","","6440","","For Sale"
"57 N Allen St","","","","","","Greenland","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","6378","","For Sale"
"3716 N Thompson St","","","","","","Springdale","0.00","","","Cameron","","","","","","","","","","","","","","","","","","","","","","6252","","For Sale"
"402 S Metro Prkwy","","","","","","Rogers","0.00","","","Cameron","","","","","","","","","","","","","","","","","","","","","","6000","","For Sale"
