"Property: Property Name","# of Dock Doors","# of Grade Level Doors","# of Parking Spaces","Available SF","Ceiling Height (ft)","City","Land Size (Acres)","Lease Price (PSF)","Net Operating Income","Lead Broker","Year Built","Warehouse Space (SF)","Price (PSF)","Price (per Unit)","Price (total)","Sprinkler Type","Unit Amenities","# of Bathrooms","# of Bedrooms","# of Buildings","# of Elevators","# Of Units","# of Floors","Access Frontage","Building Status","Sales (per SF)","Building Type","Lease Structure","Truck Court Depth (ft)","Traffic (per Day)","In-Place Rent (psf)","Building Size (SF)","Dock Height (ft)","Listing Status"
"2680 E Joyce Blvd","","","","","","Fayetteville","0.00","","","Corey","","","43.77","","215000.00","","","","","","","","","","","","","","","","","4912","","For Sale"
"2890 W Huntsville Ave","","","","","","Springdale","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","4583","","For Sale"
"2925 W Walnut St","","","","","","Rogers","0.00","","","Corey","","","7.98","","31900.00","","","","","","","","","","","","","","","","","40000","","For Sale"
"1412 SE 14Th St","","","","","","Bentonville","0.00","","","Corey","","","3.74","","11600.00","","","","","","","","","","","","","","","","","3104","","For Sale"
"624 E Henri De Tonti Blvd","","","","","","Tontitown","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","1770","","For Sale"
"237 E Millsap Rd","","","","","","Fayetteville","0.00","","","Corey","","","190.11","","2549000.00","","","","","","","","","","","","","","","","","13408","","For Sale"
"594 E Millsap Rd","","","","","","Fayetteville","0.00","","","Corey","","","200.61","","2750000.00","","","","","","","","","","","","","","","","","13708","","For Sale"
"3000 NW A St","","","","","","Bentonville","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","10545","","For Sale"
"3336 N Futrall Dr","","","","","","Fayetteville","0.00","","","Corey","","","187.55","","2000000.00","","","","","","","","","","","","","","","","","10664","","For Sale"
"3271 N Wimberly Dr","","","","","","Fayetteville","0.00","","","Corey","","","15.32","","303500.00","","","","","","","","","","","","","","","","","19805","","For Sale"
"3103 N Walton Blvd","","","","","","Bentonville","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","3120","","For Sale"
"3302 N Northhills Blvd","","","","","","Fayetteville","0.00","","","Corey","","","196.03","","730000.00","","","","","","","","","","","","","","","","","3724","","For Sale"
"2386 N Green Acres Rd","","","","","","Fayetteville","0.00","","","Corey","","","173.25","","1400000.00","","","","","","","","","","","","","","","","","8081","","For Sale"
"3276 N Northhills Blvd","","","","","","Fayetteville","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","6690","","For Sale"
"3352 N Futrall Dr","","","","","","Fayetteville","0.00","","","Corey","","","224.19","","2000000.00","","","","","","","","","","","","","","","","","8921","","For Sale"
"1510 SE 14th St","","","","","","Bentonville","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","2786","","For Sale"
"3344 N Futrall Dr","","","","","","Fayetteville","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","40168","","For Sale"
"126 N Mock St","","","","","","Prairie Grove","0.00","","","Corey","","","8.58","","25000.00","","","","","","","","","","","","","","","","","2915","","For Sale"
"3317 N Wimberly Dr","","","","","","Fayetteville","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","21976","","For Sale"
"2702 American St","","","","","","Springdale","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","2360","","For Sale"
"1306 S Pleasant St","","","","","","Springdale","0.00","","","Corey","","","114.54","","480150.00","","","","","","","","","","","","","","","","","4192","","For Sale"
"307 S Thompson St","","","","","","Springdale","0.00","","","Corey","","","108.61","","950000.00","","","","","","","","","","","","","","","","","8747","","For Sale"
"2707 W Huntsville Ave","","","","","","Springdale","0.00","","","Corey","","","111.54","","400000.00","","","","","","","","","","","","","","","","","3586","","For Sale"
"1600 W Sunset Ave","","","","","","Springdale","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","9412","","For Sale"
"1792 E Joyce Blvd","","","","","","Fayetteville","0.00","","","Corey","","","253.21","","395000.00","","","","","","","","","","","","","","","","","1560","","For Sale"
"1706 E Joyce Blvd","","","","","","Fayetteville","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","3120","","For Sale"
"3737 W Walnut St","","","","","","Rogers","4.12","","","Cameron","1989","","264.01","","5200000.00","","","","","","","","","","","","","","","","","19696","","For Sale"
"1794 E Joyce Blvd","","","","","","Fayetteville","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","3120","","For Sale"
"3617 W Sunset Ave","","","","","","Springdale","0.00","","","Corey","","","636.00","","2135000.00","","","","","","","","","","","","","","","","","4912","","For Sale"
"500 Deaver St","","","","","","Springdale","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","9021","","For Sale"
"2001 N Green Acres Rd","","","","","","Fayetteville","0.00","","","Corey","","","22.75","","780000.00","","","","","","","","","","","","","","","","","3522","","For Sale"
"1742 E Joyce Blvd","","","","","","Fayetteville","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","1848","","For Sale"
"2109 W Huntsville Ave","","","","","","Springdale","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","2566","","For Sale"
"19 W Main St","","","","","","Farmington","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","1613","","For Sale"
"117 E Sycamore St","","","","","","Fayetteville","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","2708","","For Sale"
"2017 N Green Acres Rd","","","","","","Fayetteville","0.00","","","Corey","","","17.88","","53000.00","","","","","","","","","","","","","","","","","2964","","For Sale"
"2025 N Green Acres Rd","","","","","","Fayetteville","0.48","","","Cameron","","","","","700000.00","","","","","","","","","","","","","","","","","3330","","For Sale"
"1831 N Green Acres Rd","","","","","","Fayetteville","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","1867","","For Sale"
"767 W N St","","","","","","Fayetteville","0.00","","","Corey","","","1510.19","","11187502.00","","","","","","","","","","","","","","","","","7408","","For Sale"
"711 Quandt Ave","","","","","","Springdale","0.00","","","Corey","","","48.29","","215000.00","","","","","","","","","","","","","","","","","4452","","For Sale"
"1915 N Green Acres Rd","","","","","","Fayetteville","0.00","","","Corey","","","114.79","","499000.00","","","","","","","","","","","","","","","","","4347","","For Sale"
"715 N College Ave","","","","","","Fayetteville","0.00","","","Corey","","","698.76","","1125000.00","","","","","","","","","","","","","","","","","1610","","For Sale"
"106 N Locust Ave","","","","","","Fayetteville","0.00","","","Corey","","","65.29","","111000.00","","","","","","","","","","","","","","","","","1700","","For Sale"
"3115 E Mission Blvd","","","","","","Fayetteville","0.00","","","Corey","","","87.87","","378000.00","","","","","","","","","","","","","","","","","4302","","For Sale"
"1105 Shipley St","","","","","","Springdale","0.00","","","Corey","","","21.82","","61000.00","","","","","","","","","","","","","","","","","2796","","For Sale"
"712 W Meadow Ave","","","","","","Springdale","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","2676","","For Sale"
"512 S Mount Olive St","","","","","","Siloam Springs","0.00","","","Corey","","","124.07","","400000.00","","","","","","","","","","","","","","","","","3224","","For Sale"
"401 E Buchanan St","","","","","","Prairie Grove","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","1417","","For Sale"
"3301 W Hudson Rd","","","","","","Rogers","0.00","","","Corey","","","57.77","","165000.00","","","","","","","","","","","","","","","","","2856","","For Sale"
"540 N 13Th St","","","","","","Rogers","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","4581","","For Sale"
"2109 S 54Th St","","","","","","Rogers","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","4324","","For Sale"
"212 S Broadway St","","","","","","Siloam Springs","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","3687","","For Sale"
"1101 NE McClain Rd, Bentonville","","","","","","Bentonville","0.00","","","Corey","","","800.34","","4530700.00","","","","","","","","","","","","","","","","","5661","","For Sale"
"212 W Monroe Ave","","","","","","Lowell","0.00","","","Corey","","","347.90","","1425000.00","","","","","","","","","","","","","","","","","4096","","For Sale"
"325 S 6Th Pl","","","","","","Lowell","0.00","","","Corey","","","187.66","","3300000.00","","","","","","","","","","","","","","","","","17585","","For Sale"
"1107 W Elm St","","","","","","Rogers","0.00","","","Corey","","","57.57","","245000.00","","","","","","","","","","","","","","","","","4256","","For Sale"
"2 Halsted Cir","","","","","","Rogers","0.00","","","Corey","","","91.52","","164000.00","","","","","","","","","","","","","","","","","1792","","For Sale"
"960 S Mount Olive St","","","","","","Siloam Springs","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","1550","","For Sale"
"615 W Oak St","","","","","","Rogers","0.00","","","Corey","","","45.21","","150000.00","","","","","","","","","","","","","","","","","3318","","For Sale"
"1615 W Persimmon St","","","","","","Rogers","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","1800","","For Sale"
"3207 W Arapaho Dr","","","","","","Rogers","0.00","","","Corey","","","40.44","","107000.00","","","","","","","","","","","","","","","","","2646","","For Sale"
"1900 W Walnut St","","","","","","Rogers","33811.00","","","Corey","","","370.83","","1770715.00","","","","","1","","","","","","","","","","","","4824","","For Sale"
"5215 W Village Pkwy","","","","","","Rogers","0.00","","","Corey","","","85.85","","315000.00","","","","","","","","","","","","","","","","","3669","","For Sale"
"2886 W Walnut St","","","","","","Rogers","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","4494","","For Sale"
"306 Ne Blake St","","","","","","Bentonville","0.00","","","Corey","","","78.71","","400000.00","","","","","","","","","","","","","","","","","5082","","For Sale"
"1616 Bella Vista Rd","","","","","","Bentonville","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","5350","","For Sale"
"500 SE Plaza Ave","","","","","","Bentonville","0.00","","","Corey","","","32.24","","700000.00","","","","","","","","","","","","","","","","","9175","","For Sale"
"3718 S Pinnacle Hills Pkwy","","","","","","Rogers","0.00","","","Corey","","","59.24","","410988.00","","","","","","","","","","","","","","","","","6938","","For Sale"
"601 SW Regional Airport Blvd","","","","","","Bentonville","2.20","","","Corey; Michael","","","168.56","","2525000.00","","","","","1","","","","","","","","","","","","14980","","For Sale"
"1900 S Walton Blvd","","","","","","Bentonville","0.00","","","Corey","","","48.89","","220000.00","","","","","","","","","","","","","","","","","4500","","For Sale"
"82 N Rust Ave","","","","","","Gentry","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","2808","","For Sale"
"602 N 13Th St","","","","","","Rogers","0.00","","","Corey","","","111.36","","400000.00","","","","","","","","","","","","","","","","","0","","For Sale"
"324 N 2Nd St","","","","","","Rogers","0.00","","","Corey","","","62.08","","315000.00","","","","","","","","","","","","","","","","","5074","","For Sale"
"906 NW 8th St","","","","","","Bentonville","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","2930","","For Sale"
"600 Memorial Dr","","","","","","Bella Vista","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","8488","","For Sale"
"5400 S 28Th Pl","","","","","","Rogers","0.00","","","Corey","","","107.71","","893000.00","","","","","","","","","","","","","","","","","8291","","For Sale"
"903 Nw 9Th St","","","","","","Bentonville","0.00","","","Corey","","","2.56","","5360.00","","","","","","","","","","","","","","","","","2090","","For Sale"
"801 N Curtis Ave","","","","","","Pea Ridge","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","4816","","For Sale"
"740 S Holly St","","","","","","Siloam Springs","0.00","","","Corey","","","37.28","","75000.00","","","","","","","","","","","","","","","","","2012","","For Sale"
"2033 Ravenwood Pl","","","","","","Siloam Springs","0.00","","","Corey","","","27.13","","66847.00","","","","","","","","","","","","","","","","","2464","","For Sale"
"1102 Jackson St SW","","","","","","Gravette","0.00","","","Corey","","","24.67","","500000.00","","","","","","","","","","","","","","","","","20270","","For Sale"
"905 NW 8Th St","","","","","","Bentonville","0.00","","","Corey","","","128.69","","501500.00","","","","","","","","","","","","","","","","","3897","","For Sale"
"1138 E Centerton Blvd","","","","","","Centerton","0.94","","","Corey","2017","","","","","","","","","","","","","","","","","","","","","4758","","For Sale"
"500 S Mount Olive St","","","","","","Siloam Springs","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","20484","","For Sale"
"2100 S 54Th St","","","","","","Rogers","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","5617","","For Sale"
"900 S 52Nd St","","","","","","Rogers","0.00","","","Corey","","","351.59","","5500000.00","","","","","","","","","","","","","","","","","15643","","For Sale"
"643 E 3Rd St","","","","","","Gentry","0.00","","","Corey","","","75.00","","450000.00","","","","","","","","","","","","","","","","","6000","","For Sale"
"5300 S Southern Hills Ct","","","","","","Rogers","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","6324","","For Sale"
"1114 W Poplar St","","","","","","Rogers","0.00","","","Corey","","","46.85","","489000.00","","","","","","","","","","","","","","","","","6845","","For Sale"
"2708 S Rife Medical Ln","","","","","","Rogers","0.00","","","Corey","","","387.94","","41133969.00","","","","","","","","","","","","","","","","","106031","","For Sale"
"102 Russell Rd","","","","","","Avoca","0.00","","","Corey","","","68.80","","171322.00","","","","","","","","","","","","","","","","","2490","","For Sale"
"624 W Poplar St","","","","","","Rogers","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","1318","","For Sale"
"1104 Poplar Pl","","","","","","Rogers","0.00","","","Corey","","","127.06","","400000.00","","","","","","","","","","","","","","","","","3148","","For Sale"
"110 S 20th St","","","","","","Rogers","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","4281","","For Sale"
"113 N Broadway St","","","","","","Siloam Springs","0.00","","","Corey","","","14.73","","35000.00","","","","","","","","","","","","","","","","","2376","","For Sale"
"4400 S Thompson St","","","","","","Springdale","1.40","","","Corey","","","","","","","","","","","","","","","","","","","","","","12200","","For Sale"
"14 Riordan Rd","","","","","","Bella Vista","0.00","","","Corey","","","77.16","","525000.00","","","","","","","","","","","","","","","","","6804","","For Sale"
"3721 Hwy 412 E","","","","","","Siloam Springs","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","10303","","For Sale"
"1300 Slack St","","","","","","Pea Ridge","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","2445","","For Sale"
"1019 W Cypress St","","","","","","Rogers","0.00","","","Corey","","","60.70","","1170000.00","","","","","","","","","","","","","","","","","19276","","For Sale"
"1300 N Progress Ave","","","","","","Siloam Springs","0.00","","","Corey","","","319.63","","1400000.00","","","","","","","","","","","","","","","","","4380","","For Sale"
"1002 S 52nd St","","","","","","Rogers","0.00","","","Corey","","","499.89","","17867686.00","","","","","","","","","","","","","","","","","35743","","For Sale"
"5505 W Walsh Ln","","","","","","Rogers","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","7171","","For Sale"
"901 SE Plaza Ave","","","","","","Bentonville","0.00","","","Corey","","","31.43","","730000.00","","","","","","","","","","","","","","","","","23223","","For Sale"
"304 E Main St","","","","","","Gentry","0.00","","","Corey","","","40.45","","116000.00","","","","","","","","","","","","","","","","","2868","","For Sale"
"4100 SW I St","","","","","","Bentonville","0.00","","","Corey","","","174.70","","2400000.00","","","","","","","","","","","","","","","","","13738","","For Sale"
"609 W Maple Ave","","","","","","Springdale","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","403089","","For Sale"
"815 W Persimmon St","","","","","","Rogers","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","1977","","For Sale"
"12 E Appleyby Rd","","","","","","Fayetteville","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","33339","","For Sale"
"435 Millsap Rd","","","","","","Fayetteville","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","12016","","For Sale"
"3720 S Champions Dr","","","","","","Rogers","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","45780","","For Sale"
"4001 W Financial Pkwy","","","","","","Rogers","0.00","","","Corey","","","467.97","","2250000.00","","","","","","","","","","","","","","","","","4808","","For Sale"
"2317 N Mount Olive St","","","","","","Siloam Springs","0.00","","","Corey","","","12.92","","38500.00","","","","","","","","","","","","","","","","","2980","","For Sale"
"1109 W Chestnut St","","","","","","Rogers","0.00","","","Corey","","","63.84","","110000.00","","","","","","","","","","","","","","","","","1723","","For Sale"
"1222 W Poplar St","","","","","","Rogers","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","7608","","For Sale"
"620 S Mount Olive St","","","","","","Siloam Springs","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","1592","","For Sale"
"5204 W Redbud St","","","","","","Rogers","0.00","","","Corey","","","404.94","","3800000.00","","","","","","","","","","","","","","","","","9384","","For Sale"
"1580 E Centerton Blvd","","","","","","Bentonville","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","10988","","For Sale"
"3215 N Hills","","","","","","Fayetteville","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","724000","","For Sale"
"5516 Walsh Ln","","","","","","Rogers","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","15384","","For Sale"
"4301 Greathouse Springs Rd","","","","","","Johnson","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","106961","","For Sale"
"153 E Monte Painter Dr","","","","","","Fayetteville","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","55383","","For Sale"
"107 E Monte Painter Dr","","","","","","Fayetteville","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","7865","","For Sale"
"415 E Longview St","","","","","","Fayetteville","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","51684","","For Sale"
"390 E Longview St","","","","","","Fayetteville","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","22960","","For Sale"
"4206 W New Hope Rd","","","","","","Rogers","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","14280","","For Sale"
"1311 S Walton Blvd","","","","","","Bentonville","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","14820","","For Sale"
"2964 W Martin Luther King Blvd","","","","","","Fayetteville","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","14550","","For Sale"
"3873 N Parkview Dr","","","","","","Fayetteville","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","55740","","For Sale"
"2002 S Thompson St","","","","","","Springdale","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","15039","","For Sale"
"3234 E Robinson Ave","","","","","","Springdale","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","14328","","For Sale"
"3499 Bella Vista Way","","","","","","Bella Vista","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","14820","","For Sale"
"2300 SE J St","","","","","","Bentonville","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","8000","","For Sale"
"1722 W Walnut St","","","","","","Rogers","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","15053","","For Sale"
"2503 W Pleasant Grove Rd","","","","","","Rogers","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","14820","","For Sale"
"440 Hwy 412 E","","","","","","Siloam Springs","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","14729","","For Sale"
"1125 N College Ave","","","","","","Fayetteville","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","68140","","For Sale"
"4015 W Wedington Dr","","","","","","Fayetteville","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","14820","","For Sale"
"3251 W Sunset Ave","","","","","","Springdale","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","13200","","For Sale"
"4007 N Shiloh Dr","","","","","","Fayetteville","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","14448","","For Sale"
"300 E Township","","","","","","Fayetteville","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","15120","","For Sale"
"2750 E Mission Blvd","","","","","","Fayetteville","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","9142","","For Sale"
"2833 Bella Vista Way","","","","","","Bella Vista","0.00","","","Corey","","","439.55","","5850000.00","","","","","","","","","","","","","","","","","13309","","For Sale"
"2001 S Thompson","","","","","","Springdale","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","13275","","For Sale"
"2828 N Mansfield Ave The Pendergraft Bldg","","","","","","Fayetteville","0.50","","","Corey","2023","","","","","","","","","","","","","","","","","","","","","16873","","For Sale"
"4405 W Persimmon St","","","","","","Fayetteville","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","101805","","For Sale"
"2402 N College","","","","","","Fayetteville","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","13225","","For Sale"
"1749 W Walnut St","","","","","","Rogers","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","13225","","For Sale"
"800 SE Plaza Ave","","","","","","Bentonville","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","6000","","For Sale"
"1923 E Joyce Ave","","","","","","Fayetteville","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","460518","","For Sale"
"55 W Rainsong","","","","","","Farmington","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","60783","","For Sale"
"3434 N Blessing Dr","","","","","","Fayetteville","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","100000","","For Sale"
"4252 N Crossover Rd","","","","","","Fayetteville","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","106399","","For Sale"
"4461 N Crossover Rd","","","","","","Fayetteville","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","59325","","For Sale"
"2175 Orchard St","","","","","","Springdale","0.00","","","Corey","","","149.79","","7512552.00","","","","","","","","","","","","","","","","","50154","","For Sale"
"1101 S Promenade","","","","","","Rogers","0.00","","","Corey","","","265.95","","14627485.00","","","","","","","","","","","","","","","","","55000","","For Sale"
"650 S Dodson Rd","","","","","","Rogers","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","141362","","For Sale"
"672 Jones Rd","","","","","","Springdale","0.00","","","Corey","","","231.52","","12090047.00","","","","","","","","","","","","","","","","","52220","","For Sale"
"1092 W Stultz Rd","","","","","","Springdale","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","52608","","For Sale"
"602 N Walton Blvd","","","","","","Bentonville","0.00","","","Corey","","","66.29","","4960500.00","","","","","","","","","","","","","","","","","74826","","For Sale"
"901 Jones Rd.","","","","","","Springdale","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","0","","For Sale"
"2029 S Hampton Pl","","","","","","Rogers","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","85921","","For Sale"
"2600 N 22nd St","","","","","","Rogers","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","99307","","For Sale"
"2001 S Hampton Pl","","","","","","Rogers","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","65085","","For Sale"
"601 NE Greenwood Way","","","","","","Bentonville","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","30000","","For Sale"
"1570 W Centerton Blvd","","","","","","Centerton","0.00","","","Corey","","","114.45","","6192000.00","","","","","","","","","","","","","","","","","54100","","For Sale"
"197 E Main St","","","","","","Farmington","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","10560","","For Sale"
"2300 SE 28th St","","","","","","Bentonville","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","62206","","For Sale"
"2050 W Martin Luther King Jr Blvd","","","","","","Fayetteville","0.27","","","Corey","1993","","","","","","","","","","","","","","","","","","","","","1084","","For Sale"
"25 E Center St","","","","","","Fayetteville","0.10","","","Corey","1925","","","","","","","","","","","","","","","","","","","","","6452","","For Sale"
"2522 E Robinson Ave","","","","","","Springdale","0.66","","","Palmer","","","","","240000.00","","","","","","","","","","","","","","","","","0","","For Sale"
"2505 S Walton Blvd - Kimberly Plaza","","","","","","Bentonville","1.66","","","Tyler","1997","","","","","","","","","","","","","","","","","","","","","15328","","For Sale"
"1133 N Walton Blvd","","","","","","Bentonville","0.64","","","Cameron","2008","","","","","","","","","","","","","","","","","","","","","6912","","For Sale"
"400 N Walton Blvd","","","","","","Bentonville","1.03","","","Cameron","2009","","","","","","","","","","","","","","","","","","","","","10040","","For Sale"
"1301 N Walton Blvd","","","","","","Bentonville","0.77","","","Tyler","2011","","","","","","","","","","","","","","","","","","","","","10558","","For Sale"
"700 SE Walton Blvd","","","","","","Bentonville","2.47","","","Michael","2005","","","","","","","","","","","","","","","","","","","","","20421","","For Sale"
"1400 SE Walton Blvd","","","","","","Bentonville","10.12","","","Tyler","2003","","","","","","","","","","","","","","","","","","","","","71568","","For Sale"
"1003 SE 14th St - Pinnacle Plaza","","","","","","Bentonville","1.54","","","Tyler","2008","","","","","","","","","","","","","","","","","","","","","31604","","For Sale"
"3724 W Walnut St","","","","","","Rogers","1.07","","","Cameron","1992","","","","","","","","","","","","","","","","","","","","","13760","","For Sale"
"3403 W Walnut St","","","","","","Rogers","0.92","","","Cameron","1996","","","","","","","","","","","","","","","","","","","","","5160","","For Sale"
"1601 W Walnut St","","","","","","Rogers","0.98","","","Cameron","2005","","","","","","","","","","","","","","","","","","","","","6000","","For Sale"
"2929 W Walnut St","","","","","","Rogers","0.65","","","Cameron","2002","","","","","","","","","","","","","","","","","","","","","3120","","For Sale"
"1717 W Walnut St","","","","","","Rogers","0.88","","","Cameron","2001","","","","","","","","","","","","","","","","","","","","","6825","","For Sale"
"1231 W Walnut St","","","","","","Rogers","1.23","","","Cameron","2005","","","","","","","","","","","","","","","","","","","","","24470","","For Sale"
"721 W Walnut St","","","","","","Rogers","0.29","","","Cameron","2003","","","","","","","","","","","","","","","","","","","","","3000","","For Sale"
"1035 W Walnut St","","","","","","Rogers","0.44","","","Cameron","2003","","","","","","","","","","","","","","","","","","","","","1800","","For Sale"
"400-416 S Eighth St","","","","","","Rogers","2.41","","","Cameron","2004","","","","","","","","","","","","","","","","","","","","","42750","","For Sale"
"1604-1640 S Eighth St","","","","","","Rogers","10.31","","","Cameron","1998","","","","","","","","","","","","","","","","","","","","","56571","","For Sale"
"4600 W Walnut St","","","","","","Rogers","2.50","","","Corey","2000","","","","","","","","","","","","","","","","","","","","","27024","","For Sale"
"65 Sunbridge Dr E","","","","","","Fayetteville","0.65","421500.00","","Cameron","","","","","","","","","","","","","1","","","","","","","","","2592","","For Sale"
"101 SE 22nd St","","","","","","Bentonville","0.00","","","Cameron","2001","","","","","","","","","","","","1","","","","","","","","","6120","","For Sale"
"2714 SE Otis Corley Dr","3","1","","","","Bentonville","2.95","","","Clinton","1999","","","","8250000.00","","","","","","","","1","","","","","","","","","39652","","For Sale"
"Mercy Village MASTER","","","","","","Rogers","10.40","","","","","","","","","","","","","0","","","","","","","","","","","","0","","For Sale"
"Mercy Village bldg A","","","","","","Rogers","","","","","","","","","","","","","","","","","","","","","","","","","","15000","","For Sale"
"Dollar General - 8100 SW Regional Airport Blvd","","","24","","","Bentonville","1.29","9.99","105336.00","Clinton","2022","","163.80","","1726820.00","","","","","1","","","1","","","","","NNN","","","","10542","","For Sale"
"Dollar General - 1153 Wagon Wheel Road","","","24","","","Springdale","1.18","10.87","114816.00","Clinton","2022","","178.00","","1882230.00","","","","","1","","","1","","","","","NNN","","15000","","10566","","For Sale"
"120 W Central","","","4","","","Bentonville","0.11","","","","1920","","1288.66","","2500000.00","","","","","1","","","1","","","","","","","","","1940","","For Sale"
"641 N E St","","","","","","Rogers","2.50","","","","","","","","","","","","","","","","","","","","","","","","","0","","For Sale"
"Mills Farm","","","","","","Rogers","","","","","","","","","","","","","","","","","","","","","","","","","","0","","For Sale"
"Bentonville Office Complex - Building 1","","","","","","Bentonville","","21.04","350097.00","","2015","","","","","","","","","1","","","","","","","","NNN","","","","16639","","For Sale"
"Bentonville Office Complex - MASTER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","",""
"Bentonville Office Complex - Building 3","","","","","","Bentonville","","18.16","168516.00","","2007","","","","","","","","","1","","","","","","","","MG","","","","9281","","For Sale"
